number_draw,date,winning_number_1,winning_number_2,winning_number_3,winning_number_4,winning_number_5,winning_number_6,additional_number,Group 1 Share Amount,Group 2 Share Amount,Group 3 Share Amount,Group 4 Share Amount,Group 5 Share Amount,Group 6 Share Amount,Group 7 Share Amount,Group 1 No.winning ,Group 2 No.winning ,Group 3 No.winning ,Group 4 No.winning ,Group 5 No.winning ,Group 6 No.winning ,Group 7 No.winning 
3787,01/08/2022,3,10,12,29,45,47,26,"$1,255,814","$88,128","$2,114",$394,$50,$25,$10,1,3,86,252,"5,308","7,828","103,316"
3788,05/08/2022,14,18,24,37,43,45,8,"$5,000,000","$115,844","$1,927",$369,$50,$25,$10,1,9,372,"1,060","19,848","30,695","365,676"
3789,08/08/2022,2,9,33,34,37,49,29,"$1,151,669",-,"$1,985",$448,$50,$25,$10,1,-,84,203,"4,188","6,568","82,724"
3790,11/08/2022,10,12,16,18,32,44,22,-,-,"$2,162",$334,$50,$25,$10,-,-,78,276,"5,275","8,092","97,051"
3791,15/08/2022,7,22,29,34,38,41,35,-,"$424,599","$2,055",$392,$50,$25,$10,-,2,121,346,"6,789","9,060","128,467"
3792,18/08/2022,2,4,12,18,28,43,38,"$5,634,202","$72,426","$1,384",$293,$50,$25,$10,1,8,288,742,"15,793","18,144","255,883"
3793,22/08/2022,5,20,23,36,42,44,47,-,-,"$1,883",$468,$50,$25,$10,-,-,92,202,"5,132","5,533","95,866"
3794,25/08/2022,3,5,13,23,24,48,10,-,"$600,468","$1,489",$291,$50,$25,$10,-,1,161,450,"8,497","13,013","148,666"
3795,29/08/2022,4,8,9,15,22,31,13,-,"$37,465",$852,$191,$50,$25,$10,-,16,484,"1,180","21,413","25,059","314,939"
3796,01/09/2022,1,18,28,42,43,48,45,"$11,414,547","$200,528","$1,822",$394,$50,$25,$10,1,6,454,"1,148","25,173","32,244","450,598"
3797,05/09/2022,4,9,13,18,34,47,3,-,-,"$2,208",$307,$50,$25,$10,-,-,78,306,"5,374","9,447","98,795"
3798,08/09/2022,1,8,11,12,22,46,35,"$2,886,318","$607,646",$859,$349,$50,$25,$10,1,1,286,384,"12,544","11,031","195,078"
3799,12/09/2022,8,15,21,22,39,43,44,"$1,241,044","$261,273","$2,364",$442,$50,$25,$10,1,1,76,222,"5,207","6,591","104,041"
3800,15/09/2022,13,15,27,29,38,45,40,-,"$125,144","$1,739",$393,$50,$25,$10,-,2,99,239,"4,754","5,767","88,797"
3801,19/09/2022,1,5,14,23,40,45,16,"$2,872,168","$354,380","$1,434",$398,$50,$25,$10,1,1,170,334,"8,073","10,267","135,530"
3802,22/09/2022,3,11,19,26,43,49,37,"$1,166,722","$245,626","$1,594",$376,$50,$25,$10,1,1,106,245,"5,500","6,545","103,577"
3803,26/09/2022,6,19,24,34,43,46,21,"$1,207,911","$254,297","$1,841",$444,$50,$25,$10,1,1,95,215,"4,905","6,316","88,313"
3804,29/09/2022,27,29,31,44,46,49,42,-,"$121,313","$2,060",$515,$50,$25,$10,-,2,81,177,"3,892","5,524","74,866"
3805,03/10/2022,7,16,20,29,33,42,39,"$2,783,637","$57,234","$1,467",$361,$50,$25,$10,1,6,161,357,"7,159","8,941","129,099"
3806,06/10/2022,10,19,20,22,26,46,4,-,"$80,454","$1,169",$228,$50,$25,$10,-,3,142,398,"6,373","9,694","105,527"
3807,10/10/2022,8,10,18,26,42,47,49,-,"$174,778","$2,037",$425,$50,$25,$10,-,2,118,309,"7,471","8,761","143,442"
3808,13/10/2022,2,4,8,17,22,40,6,-,"$93,427","$1,460",$233,$50,$25,$10,-,6,264,905,"14,351","23,468","245,451"
3809,17/10/2022,1,8,16,24,38,43,15,"$5,560,463","$74,361","$1,633",$352,$50,$25,$10,2,16,501,"1,269","25,697","36,995","473,834"
3810,20/10/2022,2,9,19,27,33,37,21,-,"$39,099","$1,630",$250,$50,$25,$10,-,6,99,352,"6,215","7,702","104,310"
3811,24/10/2022,7,11,17,21,41,43,30,"$2,824,881","$51,446","$1,191",$327,$50,$25,$10,1,7,208,414,"9,166","11,281","150,942"
3812,27/10/2022,13,16,25,41,45,46,20,-,"$120,761","$1,887",$470,$50,$25,$10,-,2,88,193,"3,767","5,478","73,822"
3813,31/10/2022,4,14,17,25,29,49,36,-,"$119,405","$1,811",$368,$50,$25,$10,-,3,136,366,"7,492","9,131","133,747"
3814,03/11/2022,13,21,24,25,26,41,11,"$5,578,700","$143,683","$2,196",$366,$50,$25,$10,1,4,180,590,"10,931","18,225","202,367"
3815,07/11/2022,10,14,33,37,39,45,28,-,-,"$1,821",$416,$50,$25,$10,-,-,97,232,"4,750","6,348","85,452"
3816,10/11/2022,10,23,28,35,39,46,6,-,"$202,232","$2,022",$418,$50,$25,$10,-,3,119,314,"6,720","9,966","124,920"
3817,14/11/2022,8,15,22,26,34,45,32,"$5,675,646","$196,060","$1,550",$359,$50,$25,$10,1,3,261,615,"13,637","16,625","239,442"
